"","X","x","y","elevation","Presence"
"74",74,-1950500,2519500,913,0
"75",75,75500,1659500,538,0
"76",76,-622500,1013500,4016,0
"77",77,1740500,3158500,39,0
"78",78,912500,3648500,132,0
"79",79,-492500,1373500,3527,0
"80",80,-712500,4012500,151,0
"81",81,-512500,3035500,83,0
"82",82,-715500,714500,4455,0
"83",83,1449500,2442500,533,0
"84",84,1160500,2037500,540,0
"85",85,-383500,745500,326,0
"86",86,-1618500,2360500,767,0
"87",87,340500,220500,173,0
"88",88,919500,3187500,166,0
"89",89,-504500,3524500,65,0
"90",90,-1363500,3510500,176,0
"91",91,-633500,2495500,164,0
"92",92,-773500,2834500,146,0
"93",93,-1508500,2041500,3979,0
"94",94,1515500,1340500,712,0
"95",95,-537500,471500,1513,0
"96",96,-801500,611500,4897,0
"97",97,-130500,3235500,31,0
"98",98,-1590500,4418500,2248,0
"99",99,-528500,2398500,142,0
"100",100,1648500,1559500,1022,0
"101",101,92500,1970500,355,0
"102",102,1015500,628500,966,0
"103",103,1127500,3141500,110,0
"104",104,140500,2565500,238,0
"105",105,1846500,2691500,370,0
"106",106,2128500,1863500,127,0
"107",107,-1244500,3155500,137,0
"108",108,419500,422500,75,0
"109",109,444500,4228500,8,0
"110",110,256500,2727500,168,0
"111",111,31500,1139500,126,0
"112",112,-655500,893500,4364,0
"113",113,406500,269500,91,0
"114",114,1532500,3462500,17,0
"115",115,716500,1176500,316,0
"116",116,-908500,2720500,170,0
"117",117,490500,2113500,482,0
"118",118,500500,2040500,348,0
"119",119,1938500,1840500,868,0
"120",120,-254500,1132500,268,0
"121",121,484500,3876500,356,0
"122",122,580500,2640500,611,0
"123",123,661500,449500,577,0
"124",124,1264500,1849500,1004,0
"125",125,1025500,1224500,471,0
"126",126,-2180500,3050500,1770,0
"127",127,-1876500,2872500,934,0
"128",128,1660500,2945500,165,0
"129",129,116500,1302500,102,0
"130",130,-1257500,2299500,431,0
"131",131,-169500,2486500,197,0
"132",132,-1562500,2294500,3770,0
"133",133,896500,3121500,227,0
"134",134,2621500,2738500,502,0
"135",135,-958500,4039500,109,0
"136",136,273500,1676500,97,0
"137",137,-1735500,3273500,194,0
"138",138,-756500,2554500,158,0
"139",139,683500,648500,717,0
"140",140,1113500,848500,610,0
"141",141,613500,1325500,486,0
"142",142,244500,2731500,178,0
"143",143,-1597500,3238500,183,0
"144",144,-885500,4241500,76,0
"145",145,1346500,2017500,494,0
"146",146,2533500,2688500,752,0
"147",147,1913500,2274500,718,0
"148",148,898500,1046500,346,0
"149",149,-1846500,4028500,1244,0
"150",150,692500,2342500,317,0
"151",151,-514500,4456500,76,0
"152",152,1465500,1344500,802,0
"153",153,204500,1989500,513,0
"154",154,571500,2140500,373,0
"155",155,-1788500,4618500,8,0
"156",156,2391500,2740500,234,0
"157",157,-1646500,4531500,34,0
"158",158,-1013500,2136500,369,0
"159",159,66500,2070500,672,0
"160",160,-1084500,4385500,80,0
"161",161,780500,3745500,241,0
"162",162,-285500,2810500,84,0
"163",163,-139500,638500,137,0
"164",164,-15500,2113500,247,0
"165",165,-1460500,2076500,3858,0
"166",166,827500,2792500,266,0
"167",167,779500,3425500,5,0
"168",168,2120500,2392500,581,0
"169",169,1934500,1914500,530,0
"170",170,-1570500,1989500,1444,0
"171",171,1607500,1147500,948,0
"172",172,856500,3822500,161,0
"173",173,-1386500,3324500,112,0
"174",174,2276500,2134500,130,0
"175",175,-1436500,3190500,133,0
"176",176,-22500,1572500,346,0
"177",177,-672500,524500,3215,0
"178",178,-1412500,2476500,375,0
"179",179,-961500,2582500,180,0
"180",180,-2075500,3329500,3411,0
"181",181,576500,3721500,422,0
"182",182,-1397500,3200500,112,0
"183",183,1393500,2491500,306,0
"184",184,-349500,3044500,43,0
"185",185,2609500,2433500,137,0
"186",186,856500,2911500,202,0
"187",187,-1253500,3458500,109,0
"188",188,-599500,1363500,3861,0
"189",189,-1005500,1368500,651,0
"190",190,1337500,2080500,488,0
"191",191,166500,2425500,295,0
"192",192,-1781500,2422500,4192,0
"193",193,-369500,1783500,215,0
"194",194,-2019500,4338500,6,0
"195",195,1054500,3879500,18,0
"196",196,-123500,1607500,281,0
"197",197,62500,2598500,139,0
"198",198,-1083500,3108500,142,0
"199",199,-785500,1433500,3668,0
"200",200,-1027500,3095500,170,0
"201",201,-1931500,3972500,2126,0
"202",202,-509500,3718500,87,0
"203",203,-201500,4415500,164,0
"204",204,-1636500,3201500,147,0
"205",205,-363500,3559500,47,0
"206",206,1495500,3088500,204,0
"207",207,2064500,2837500,421,0
"208",208,-749500,4195500,302,0
"209",209,-1132500,2816500,199,0
"210",210,264500,2181500,315,0
"211",211,-263500,4475500,238,0
"212",212,-584500,273500,313,0
"213",213,164500,1209500,93,0
"214",214,-344500,2040500,182,0
"215",215,-608500,921500,3857,0
"216",216,-2042500,2876500,1302,0
"217",217,1816500,1862500,965,0
"218",218,2342500,2820500,173,0
"219",219,1794500,2954500,178,0
"220",220,334500,4087500,211,0
"221",221,-1509500,2680500,245,0
"222",222,-36500,3902500,318,0
"223",223,1255500,1752500,863,0
"224",224,-1663500,3340500,151,0
"225",225,1947500,2730500,293,0
"226",226,-1321500,2456500,414,0
"227",227,2489500,2358500,168,0
"228",228,-731500,372500,4485,0
"229",229,168500,2736500,188,0
"230",230,-442500,4584500,152,0
"231",231,-567500,4607500,150,0
"232",232,1427500,1934500,777,0
"233",233,-796500,1846500,1608,0
"234",234,-677500,782500,3969,0
"235",235,-1781500,3948500,988,0
"236",236,844500,2876500,221,0
"237",237,-135500,3902500,93,0
"238",238,-806500,1142500,4204,0
"239",239,-501500,2617500,114,0
"240",240,766500,1185500,272,0
"241",241,925500,3718500,168,0
"242",242,231500,3629500,291,0
"243",243,-200500,2985500,41,0
"244",244,-342500,425500,127,0
"245",245,379500,3747500,243,0
"246",246,1560500,2343500,550,0
"247",247,-803500,1169500,4382,0
"248",248,-772500,2958500,127,0
"249",249,-2008500,4235500,21,0
"250",250,1780500,2122500,551,0
"251",251,1080500,1954500,621,0
"252",252,114500,3066500,106,0
"253",253,481500,2307500,393,0
"254",254,-357500,4418500,343,0
"255",255,362500,3638500,159,0
"256",256,1442500,3299500,151,0
"257",257,-962500,4122500,124,0
"258",258,-567500,1450500,3830,0
"259",259,1301500,3277500,64,0
"260",260,-43500,2789500,98,0
"261",261,2055500,2364500,559,0
"262",262,1742500,2692500,289,0
"263",263,-1101500,4197500,101,0
"264",264,255500,2208500,322,0
"265",265,-1320500,2193500,959,0
"266",266,589500,1473500,351,0
"267",267,1195500,1781500,841,0
"268",268,-515500,3930500,625,0
"269",269,27500,3993500,406,0
"270",270,-1786500,2360500,4249,0
"271",271,-1443500,3433500,135,0
"272",272,1578500,1594500,1005,0
"273",273,-421500,690500,498,0
"274",274,31500,3487500,60,0
"275",275,-3500,3965500,147,0
"276",276,978500,2440500,181,0
"277",277,2565500,2628500,458,0
"278",278,-2241500,2895500,168,0
"279",279,-576500,4407500,84,0
"280",280,-1797500,4572500,20,0
"281",281,-864500,2163500,207,0
"282",282,-880500,3276500,71,0
"283",283,2331500,2164500,112,0
"284",284,388500,2670500,259,0
"285",285,-767500,3260500,96,0
"286",286,-579500,1145500,3684,0
"287",287,-370500,4449500,241,0
"288",288,339500,3300500,40,0
"289",289,1319500,2125500,345,0
"290",290,-1787500,3631500,234,0
"291",291,-963500,1998500,3871,0
"292",292,-255500,4398500,230,0
"293",293,-1152500,3774500,229,0
"294",294,1047500,3747500,21,0
"295",295,-622500,2340500,179,0
"296",296,440500,3832500,380,0
"297",297,-1941500,3236500,250,0
"298",298,711500,2786500,295,0
"299",299,1679500,2283500,431,0
"300",300,782500,3217500,180,0
"301",301,-1258500,2537500,324,0
"302",302,-1279500,4452500,138,0
"303",303,57500,3126500,43,0
"304",304,252500,2318500,323,0
"305",305,161500,1420500,83,0
"306",306,418500,3017500,142,0
"307",307,680500,2755500,304,0
"308",308,-1000500,2230500,270,0
"309",309,-22500,3197500,43,0
"310",310,2057500,2398500,528,0
"311",311,-748500,3392500,59,0
"312",312,1216500,911500,969,0
"313",313,-742500,4236500,184,0
"314",314,504500,3424500,4,0
"315",315,740500,1653500,769,0
"316",316,-1456500,3126500,133,0
"317",317,-951500,4226500,91,0
"318",318,62500,1859500,845,0
"319",319,-307500,3258500,38,0
"320",320,-407500,319500,117,0
"321",321,1919500,2688500,259,0
"322",322,1792500,2599500,567,0
"323",323,-1022500,2367500,306,0
"324",324,-527500,2428500,170,0
"325",325,2325500,2511500,354,0
"326",326,2529500,2881500,113,0
"327",327,951500,2371500,188,0
"328",328,963500,1571500,599,0
"329",329,654500,414500,524,0
"330",330,1438500,3430500,69,0
"331",331,-474500,4689500,1243,0
"332",332,-379500,3409500,66,0
"333",333,1705500,3192500,7,0
"334",334,-975500,843500,2207,0
"335",335,2668500,2735500,170,0
"336",336,578500,781500,600,0
"337",337,-1466500,2358500,637,0
"338",338,1375500,2456500,341,0
"339",339,438500,3227500,159,0
"340",340,-2060500,3533500,3955,0
"341",341,-968500,1451500,1742,0
"342",342,217500,2496500,534,0
"343",343,371500,1937500,239,0
"344",344,70500,1864500,728,0
"345",345,-1775500,2514500,3126,0
"346",346,2150500,2997500,264,0
"347",347,-1402500,4516500,31,0
"348",348,-241500,1201500,279,0
"349",349,1702500,2556500,388,0
"350",350,365500,360500,63,0
"351",351,-1524500,3131500,166,0
"352",352,1359500,2007500,454,0
"353",353,-887500,1436500,4284,0
"354",354,-1002500,4205500,94,0
"355",355,318500,2840500,278,0
"356",356,-2500,4071500,113,0
"357",357,1042500,2193500,277,0
"358",358,-1288500,2617500,318,0
"359",359,2343500,2354500,264,0
"360",360,-234500,2559500,167,0
"361",361,230500,2501500,370,0
"362",362,1666500,1364500,656,0
"363",363,-1057500,2243500,326,0
"364",364,-717500,2897500,76,0
"365",365,1099500,3525500,22,0
"366",366,1528500,2282500,758,0
"367",367,-749500,4391500,60,0
"368",368,-1526500,1912500,1475,0
"369",369,-74500,1230500,174,0
"370",370,1741500,2672500,298,0
"371",371,-657500,1925500,230,0
"372",372,-1070500,4765500,144,0
"373",373,-632500,1414500,4594,0
"374",374,-1449500,2985500,146,0
"375",375,-1957500,3313500,418,0
"376",376,353500,2073500,476,0
"377",377,-1497500,3104500,98,0
"378",378,271500,1586500,95,0
"379",379,-509500,4596500,239,0
"380",380,2325500,2632500,639,0
"381",381,242500,2303500,316,0
"382",382,-649500,1476500,4291,0
"383",383,2187500,2175500,214,0
"384",384,-1907500,4225500,2758,0
"385",385,-4500,1660500,308,0
"386",386,-202500,2746500,93,0
"387",387,-629500,3403500,44,0
"388",388,-397500,3252500,42,0
"389",389,-499500,2874500,69,0
"390",390,56500,691500,85,0
"391",391,2040500,2764500,260,0
"392",392,234500,3247500,49,0
"393",393,-326500,336500,134,0
"394",394,1278500,2840500,198,0
"395",395,1102500,2387500,205,0
"396",396,628500,3028500,189,0
"397",397,2094500,2262500,424,0
"398",398,1871500,1143500,31,0
"399",399,-394500,3149500,40,0
"400",400,-2251500,3475500,345,0
"401",401,-558500,2630500,202,0
"402",402,-447500,3490500,63,0
"403",403,1495500,1543500,545,0
"404",404,-437500,606500,357,0
"405",405,424500,4055500,323,0
"406",406,-935500,2208500,220,0
"407",407,1043500,2587500,173,0
"408",408,1930500,1213500,53,0
"409",409,-604500,2037500,163,0
"410",410,-839500,4393500,44,0
"411",411,-1612500,3151500,126,0
"412",412,-1916500,2409500,527,0
"413",413,50500,2079500,577,0
"414",414,331500,2810500,345,0
"415",415,-1198500,4772500,664,0
"416",416,-19500,2771500,101,0
"417",417,-963500,4685500,444,0
"418",418,175500,2942500,134,0
"419",419,1667500,1113500,377,0
"420",420,-587500,3102500,95,0
"421",421,1452500,1597500,683,0
"422",422,1857500,1781500,793,0
"423",423,497500,3313500,87,0
"424",424,-465500,4033500,533,0
"425",425,-1110500,3213500,148,0
"426",426,-359500,4566500,91,0
"427",427,-2246500,3523500,144,0
"428",428,975500,3285500,85,0
"429",429,733500,2482500,313,0
"430",430,-1822500,4021500,3054,0
"431",431,-588500,4381500,45,0
"432",432,-1934500,3834500,1457,0
"433",433,1884500,1949500,546,0
"434",434,-944500,4484500,59,0
"435",435,-166500,2151500,163,0
"436",436,-35500,3150500,48,0
"437",437,2518500,2823500,104,0
"438",438,-1383500,2727500,198,0
"439",439,-112500,563500,105,0
"440",440,-1283500,2892500,178,0
"441",441,-35500,2208500,305,0
"442",442,385500,655500,148,0
"443",443,-351500,925500,258,0
"444",444,-1956500,4113500,110,0
"445",445,1297500,1049500,745,0
"446",446,667500,700500,559,0
"447",447,-634500,1305500,4052,0
"448",448,749500,2927500,320,0
"449",449,-804500,4676500,380,0
"450",450,-909500,933500,1766,0
"451",451,-1986500,4433500,117,0
"452",452,1326500,3479500,22,0
"453",453,-474500,3729500,85,0
"454",454,365500,3105500,122,0
"455",455,671500,3210500,269,0
"456",456,-870500,4343500,62,0
"457",457,1762500,2850500,277,0
"458",458,1859500,2127500,866,0
"459",459,35500,2733500,137,0
"460",460,833500,482500,671,0
"461",461,-1443500,3250500,132,0
"462",462,64500,3613500,243,0
"463",463,-7500,388500,65,0
"464",464,-896500,1680500,3891,0
"465",465,843500,3231500,106,0
"466",466,-972500,3658500,108,0
"467",467,923500,2751500,310,0
"468",468,2434500,2266500,9,0
"469",469,-1620500,2114500,4266,0
"470",470,827500,3866500,172,0
"471",471,115500,4247500,106,0
"472",472,175500,2956500,122,0
"473",473,-1161500,4584500,246,0
"474",474,-1725500,4577500,84,0
"475",475,-1583500,3390500,141,0
"476",476,-1444500,4497500,10,0
"477",477,1612500,1831500,460,0
"478",478,-1961500,3053500,185,0
"479",479,-1119500,3924500,170,0
"480",480,-662500,4216500,161,0
"481",481,468500,2945500,227,0
"482",482,-851500,2350500,215,0
"483",483,-1193500,3040500,96,0
"484",484,-601500,4165500,808,0
"485",485,1471500,3036500,199,0
"486",486,1167500,2532500,261,0
"487",487,178500,4278500,56,0
"488",488,-1618500,4196500,1815,0
"489",489,934500,1124500,458,0
"490",490,1633500,2350500,453,0
"491",491,193500,813500,75,0
"492",492,-286500,3166500,52,0
"493",493,1155500,1049500,492,0
"494",494,-965500,2100500,814,0
"495",495,-399500,4437500,238,0
"496",496,187500,1962500,387,0
"497",497,-609500,3825500,201,0
"498",498,2172500,2066500,211,0
"499",499,610500,739500,346,0
"500",500,-1269500,2286500,464,0
"501",501,-2303500,3268500,193,0
"502",502,1456500,2979500,229,0
"503",503,894500,2141500,235,0
"504",504,-2196500,2946500,703,0
"505",505,728500,2271500,328,0
"506",506,-819500,2318500,224,0
"507",507,-1059500,1802500,5194,0
"508",508,-635500,484500,1144,0
"509",509,-792500,2862500,141,0
"510",510,-712500,1801500,2523,0
"511",511,976500,2571500,228,0
"512",512,-1407500,1895500,3814,0
"513",513,-993500,2621500,195,0
"514",514,-1017500,3499500,126,0
"515",515,838500,412500,944,0
"516",516,1576500,1301500,949,0
"517",517,1630500,2434500,354,0
"518",518,-1902500,3594500,283,0
"519",519,-1064500,2068500,4193,0
"520",520,-1118500,3092500,119,0
"521",521,-178500,891500,177,0
"522",522,1200500,3018500,103,0
"523",523,1147500,3184500,107,0
"524",524,-642500,2876500,108,0
"525",525,-944500,906500,919,0
"526",526,1894500,2993500,106,0
"527",527,-863500,3587500,73,0
"528",528,1261500,1114500,584,0
"529",529,-354500,2754500,85,0
"530",530,447500,2511500,252,0
"531",531,1610500,2386500,451,0
"532",532,351500,1384500,108,0
"533",533,-1676500,4057500,2650,0
"534",534,-829500,2578500,152,0
"535",535,890500,3294500,107,0
"536",536,31500,610500,79,0
"537",537,-372500,1319500,1000,0
"538",538,-1455500,1919500,3916,0
"539",539,-862500,2417500,259,0
"540",540,-149500,758500,156,0
"541",541,829500,2807500,351,0
"542",542,-562500,1160500,3772,0
"543",543,75500,3229500,40,0
"544",544,428500,1002500,538,0
"545",545,-2073500,2690500,809,0
"546",546,331500,4100500,255,0
"547",547,1776500,2066500,697,0
"548",548,1048500,1550500,444,0
"549",549,-148500,3488500,52,0
"550",550,-708500,3611500,65,0
"551",551,-1907500,3250500,272,0
"552",552,-479500,935500,942,0
"553",553,2093500,2338500,499,0
"554",554,-664500,971500,4205,0
"555",555,-132500,336500,71,0
"556",556,-609500,4434500,21,0
"557",557,-1094500,3716500,160,0
"558",558,280500,2093500,576,0
"559",559,577500,1138500,393,0
"560",560,1336500,1787500,796,0
"561",561,-1588500,3153500,140,0
"562",562,-654500,692500,4897,0
"563",563,427500,1659500,138,0
"564",564,-646500,1931500,209,0
"565",565,350500,3707500,272,0
"566",566,-627500,2095500,154,0
"567",567,-1800500,4480500,13,0
"568",568,2022500,2572500,568,0
"569",569,2138500,3040500,311,0
"570",570,-43500,3874500,134,0
"571",571,-769500,1667500,3738,0
"572",572,923500,3286500,70,0
"573",573,-755500,1592500,3712,0
"574",574,-215500,1469500,375,0
"575",575,788500,1106500,377,0
"576",576,738500,1530500,803,0
"577",577,1020500,750500,1032,0
"578",578,112500,3484500,117,0
"579",579,-541500,3629500,56,0
"580",580,756500,2261500,333,0
"581",581,1838500,3029500,75,0
"582",582,-711500,3346500,81,0
"583",583,1571500,1512500,611,0
"584",584,-342500,2808500,57,0
"585",585,-318500,4020500,678,0
"586",586,-1525500,4370500,2356,0
"587",587,-513500,3037500,79,0
"588",588,-552500,4456500,17,0
"589",589,-1582500,3582500,227,0
"590",590,843500,3773500,181,0
"591",591,-2151500,2852500,786,0
"592",592,-888500,4362500,57,0
"593",593,-39500,2452500,172,0
"594",594,-1262500,3996500,176,0
"595",595,69500,2661500,144,0
"596",596,2094500,1597500,96,0
"597",597,1574500,2117500,763,0
"598",598,-1660500,3184500,140,0
"599",599,1461500,3147500,203,0
"600",600,1615500,1793500,812,0
"601",601,1952500,2941500,122,0
"602",602,892500,3279500,146,0
"603",603,-492500,3819500,597,0
"604",604,-334500,2878500,64,0
"605",605,1076500,1623500,581,0
"606",606,643500,3552500,275,0
"607",607,-64500,677500,115,0
"608",608,1654500,2811500,254,0
"609",609,-165500,4611500,8,0
"610",610,1556500,2604500,511,0
"611",611,219500,577500,68,0
"612",612,-651500,759500,4093,0
"613",613,1937500,2343500,479,0
"614",614,703500,2398500,334,0
"615",615,1851500,3191500,42,0
"616",616,-699500,4686500,374,0
"617",617,-58500,2211500,548,0
"618",618,-60500,4529500,17,0
"619",619,157500,1132500,96,0
"620",620,580500,3445500,29,0
"621",621,-577500,3627500,68,0
"622",622,818500,1334500,364,0
"623",623,574500,1076500,379,0
"624",624,-894500,223500,3882,0
"625",625,-963500,2762500,155,0
"626",626,79500,4024500,104,0
"627",627,-2044500,4124500,241,0
"628",628,457500,3185500,7,0
"629",629,-567500,1187500,3362,0
"630",630,-1661500,3640500,196,0
"631",631,862500,347500,692,0
"632",632,-10500,2611500,138,0
"633",633,485500,721500,250,0
"634",634,1166500,858500,44,0
"635",635,1862500,1542500,549,0
"636",636,-781500,599500,4635,0
"637",637,1211500,3124500,109,0
"638",638,150500,278500,86,0
"639",639,64500,1563500,182,0
"640",640,-798500,296500,1773,0
"641",641,1392500,3476500,51,0
"642",642,-537500,477500,1359,0
"643",643,620500,3472500,122,0
"644",644,-137500,4542500,7,0
"645",645,-373500,449500,155,0
"646",646,-247500,2041500,225,0
"647",647,1427500,1660500,547,0
"648",648,-873500,1090500,2271,0
"649",649,230500,4009500,149,0
"650",650,1526500,1157500,945,0
"651",651,-1618500,3621500,210,0
"652",652,-772500,4107500,138,0
"653",653,1080500,2588500,172,0
"654",654,-1787500,3985500,501,0
"655",655,1030500,1320500,452,0
"656",656,-398500,4365500,275,0
"657",657,831500,2159500,379,0
"658",658,-1629500,3184500,155,0
"659",659,-1758500,2953500,138,0
"660",660,-177500,2420500,284,0
"661",661,-157500,3665500,48,0
"662",662,-470500,2775500,90,0
"663",663,-1928500,3230500,252,0
"664",664,1203500,2422500,569,0
"665",665,912500,3163500,245,0
"666",666,569500,2058500,588,0
"667",667,-889500,2410500,219,0
"668",668,-1837500,2671500,2099,0
"669",669,2094500,2390500,793,0
"670",670,-237500,2146500,193,0
"671",671,-1487500,4136500,852,0
"672",672,-987500,872500,1837,0
"673",673,-625500,1512500,4049,0
"674",674,1608500,1309500,786,0
"675",675,-1329500,2984500,118,0
"676",676,-1571500,4267500,1484,0
"677",677,-711500,3839500,115,0
"678",678,1163500,1959500,632,0
"679",679,681500,1351500,349,0
"680",680,1084500,1992500,375,0
"681",681,164500,3125500,90,0
"682",682,-726500,1321500,3659,0
"683",683,-1212500,4217500,106,0
"684",684,-2222500,3470500,190,0
"685",685,-1368500,3581500,190,0
"686",686,937500,2408500,184,0
"687",687,667500,1169500,402,0
"688",688,1589500,2986500,230,0
"689",689,1473500,1032500,674,0
"690",690,1269500,929500,775,0
"691",691,1646500,1283500,849,0
"692",692,-272500,737500,232,0
"693",693,499500,3268500,160,0
"694",694,1047500,1980500,380,0
"695",695,1479500,2142500,834,0
"696",696,-704500,1321500,3658,0
"697",697,-838500,4166500,997,0
"698",698,2182500,2960500,387,0
"699",699,90500,1031500,109,0
"700",700,-192500,2959500,73,0
"701",701,-963500,2372500,263,0
"702",702,-1387500,2144500,3409,0
"703",703,578500,1771500,299,0
"704",704,799500,3085500,203,0
"705",705,-114500,655500,131,0
"706",706,43500,243500,28,0
"707",707,-898500,1161500,2217,0
"708",708,-771500,307500,1264,0
"709",709,532500,2329500,342,0
"710",710,1388500,2989500,147,0
"711",711,95500,2888500,86,0
"712",712,-1063500,1628500,976,0
"713",713,-517500,2269500,155,0
"714",714,339500,3141500,159,0
"715",715,-1093500,4664500,290,0
"716",716,2136500,2399500,452,0
"717",717,-890500,4290500,55,0
"718",718,1684500,991500,118,0
"719",719,-891500,4624500,183,0
"720",720,1336500,3419500,36,0
"721",721,1785500,2879500,269,0
"722",722,2615500,2641500,477,0
"723",723,344500,3440500,4,0
"724",724,428500,2208500,381,0
"725",725,513500,672500,183,0
"726",726,493500,1734500,156,0
"727",727,-1670500,2760500,191,0
"728",728,-1420500,3549500,285,0
"729",729,1632500,3343500,32,0
"730",730,-674500,3668500,96,0
"731",731,-931500,3554500,85,0
"732",732,-1472500,2393500,758,0
"733",733,1444500,909500,0,0
"734",734,-808500,1268500,4104,0
"735",735,-100500,2847500,82,0
"736",736,-1805500,3584500,266,0
"737",737,1351500,2995500,154,0
"738",738,392500,2402500,395,0
"739",739,1565500,2965500,203,0
"740",740,-1386500,3378500,107,0
"741",741,-567500,4161500,367,0
"742",742,203500,3232500,44,0
"743",743,1122500,2659500,210,0
"744",744,-956500,2043500,2324,0
"745",745,-1988500,3994500,38,0
"746",746,-1736500,4343500,615,0
"747",747,-250500,3858500,134,0
"748",748,477500,632500,258,0
"749",749,1001500,717500,938,0
"750",750,314500,3065500,119,0
"751",751,30500,795500,106,0
"752",752,-1104500,4108500,116,0
"753",753,85500,1113500,113,0
"754",754,2039500,2627500,380,0
"755",755,933500,451500,1196,0
"756",756,75500,1507500,304,0
"757",757,-923500,3172500,119,0
"758",758,-640500,1474500,4103,0
"759",759,2524500,2489500,745,0
"760",760,1122500,1660500,758,0
"761",761,2284500,2332500,504,0
"762",762,460500,3939500,657,0
"763",763,-730500,1512500,3730,0
"764",764,-1832500,4120500,1612,0
"765",765,623500,3709500,347,0
"766",766,777500,2991500,325,0
"767",767,-990500,3031500,125,0
"768",768,-1412500,2806500,195,0
"769",769,-295500,3123500,27,0
"770",770,1032500,807500,554,0
"771",771,1974500,2288500,669,0
"772",772,1023500,2748500,319,0
"773",773,648500,1297500,406,0
"774",774,-1798500,2992500,145,0
"775",775,2526500,2726500,249,0
"776",776,-178500,3935500,112,0
"777",777,-1813500,4439500,16,0
"778",778,-1115500,2949500,186,0
"779",779,-919500,4611500,143,0
"780",780,-820500,2864500,132,0
"781",781,966500,3391500,13,0
"782",782,-786500,2462500,179,0
"783",783,-1510500,2357500,1420,0
"784",784,112500,3442500,98,0
"785",785,1157500,1385500,685,0
"786",786,1564500,2291500,617,0
"787",787,-1640500,2423500,1302,0
"788",788,-181500,2767500,136,0
"789",789,-958500,2633500,200,0
"790",790,2027500,2098500,435,0
"791",791,705500,263500,244,0
"792",792,256500,4343500,2,0
"793",793,-957500,3728500,123,0
"794",794,-1049500,4579500,84,0
"795",795,-358500,4285500,422,0
"796",796,574500,1113500,378,0
"797",797,-708500,3238500,66,0
"798",798,1055500,2375500,185,0
"799",799,-2078500,3229500,2629,0
"800",800,-590500,1826500,219,0
"801",801,-1161500,1987500,4409,0
"802",802,912500,2348500,234,0
"803",803,376500,1225500,224,0
"804",804,-651500,468500,1042,0
"805",805,-325500,1199500,440,0
"806",806,1467500,3287500,153,0
"807",807,-777500,989500,2463,0
"808",808,-26500,3390500,100,0
"809",809,-930500,283500,4200,0
"810",810,1519500,1743500,493,0
"811",811,901500,1966500,332,0
"812",812,2066500,2813500,493,0
"813",813,-275500,2828500,82,0
"814",814,376500,1686500,119,0
"815",815,-667500,3039500,98,0
"816",816,274500,3045500,206,0
"817",817,412500,3192500,96,0
"818",818,-1669500,3621500,220,0
"819",819,-94500,805500,136,0
"820",820,-227500,1658500,290,0
"821",821,-1716500,3840500,818,0
"822",822,-2049500,3281500,1854,0
