"","x","y","elevation","Presence"
"222",1782500,2909500,163,0
"223",-105500,991500,169,0
"224",436500,4154500,73,0
"225",-653500,2546500,153,0
"226",1473500,2486500,708,0
"227",-343500,3788500,99,0
"228",1328500,2878500,455,0
"229",-1236500,2664500,256,0
"230",-256500,3664500,42,0
"231",-927500,909500,1088,0
"232",-263500,4303500,834,0
"233",471500,4040500,177,0
"234",1886500,3135500,103,0
"235",-96500,427500,66,0
"236",896500,471500,992,0
"237",2382500,2417500,200,0
"238",-820500,3267500,90,0
"239",-629500,4115500,1686,0
"240",71500,1304500,112,0
"241",-31500,2278500,469,0
"242",63500,1158500,121,0
"243",513500,1249500,393,0
"244",2387500,2672500,285,0
"245",667500,2542500,335,0
"246",-1258500,1769500,1224,0
"247",-1840500,2300500,420,0
"248",-359500,3929500,334,0
"249",1429500,2277500,590,0
"250",-1372500,2845500,256,0
"251",-757500,1249500,3901,0
"252",2395500,2956500,92,0
"253",41500,1749500,208,0
"254",-1511500,3815500,328,0
"255",882500,1410500,395,0
"256",1236500,1840500,1111,0
"257",-1798500,4350500,261,0
"258",-869500,3251500,108,0
"259",1247500,835500,15,0
"260",2247500,2842500,397,0
"261",-128500,2135500,231,0
"262",-1488500,2323500,1288,0
"263",-960500,3585500,117,0
"264",1193500,1397500,794,0
"265",-322500,2628500,114,0
"266",-2029500,2648500,1264,0
"267",1506500,2370500,749,0
"268",-219500,2317500,462,0
"269",-891500,735500,3069,0
"270",-97500,793500,138,0
"271",1814500,1058500,6,0
"272",-1399500,2534500,316,0
"273",92500,1781500,128,0
"274",-1334500,3094500,97,0
"275",-1216500,2734500,261,0
"276",2410500,2340500,220,0
"277",251500,1602500,188,0
"278",-1669500,4248500,125,0
"279",-1054500,3296500,105,0
"280",432500,3499500,97,0
"281",1039500,816500,235,0
"282",-1499500,4474500,86,0
"283",-831500,488500,4604,0
"284",-1505500,2176500,2124,0
"285",580500,308500,507,0
"286",-132500,278500,67,0
"287",-2303500,2976500,137,0
"288",-31500,2745500,145,0
"289",1283500,2981500,165,0
"290",36500,1763500,177,0
"291",-1822500,2275500,172,0
"292",946500,3601500,36,0
"293",-2024500,3466500,1787,0
"294",-1364500,2759500,189,0
"295",485500,4221500,24,0
"296",1674500,2541500,371,0
"297",263500,833500,63,0
"298",-1661500,4424500,45,0
"299",64500,372500,38,0
"300",1691500,1608500,766,0
"301",758500,423500,743,0
"302",1845500,2057500,618,0
"303",1158500,1440500,741,0
"304",-862500,2973500,88,0
"305",-1564500,3424500,164,0
"306",-1400500,4503500,71,0
"307",290500,2281500,385,0
"308",1983500,1827500,683,0
"309",-632500,775500,4759,0
"310",-1183500,4775500,568,0
"311",633500,341500,342,0
"312",-957500,1161500,1517,0
"313",-1161500,3547500,111,0
"314",-604500,2341500,174,0
"315",1608500,2237500,484,0
"316",-339500,1949500,194,0
"317",1251500,984500,679,0
"318",249500,4317500,13,0
"319",913500,1536500,542,0
"320",-272500,2754500,88,0
"321",2285500,2974500,417,0
"322",-1616500,2939500,120,0
"323",161500,615500,53,0
"324",833500,2745500,498,0
"325",624500,3991500,193,0
"326",-904500,3826500,139,0
"327",1826500,2260500,905,0
"328",2617500,2761500,260,0
"329",-1935500,2820500,3220,0
"330",-423500,2182500,144,0
"331",411500,1605500,143,0
"332",-2204500,3509500,295,0
"333",765500,1931500,693,0
"334",1967500,2936500,162,0
"335",-514500,3126500,74,0
"336",453500,3012500,240,0
"337",2067500,2973500,274,0
"338",-2147500,3768500,11,0
"339",1952500,1933500,435,0
"340",-847500,3841500,137,0
"341",-1568500,4417500,2106,0
"342",1544500,2588500,482,0
"343",1960500,1508500,248,0
"344",1283500,2446500,422,0
"345",-991500,2395500,273,0
"346",1925500,2239500,723,0
"347",51500,1445500,127,0
"348",-257500,2391500,211,0
"349",229500,1634500,125,0
"350",-1303500,3307500,148,0
"351",-350500,1149500,584,0
"352",1811500,1100500,28,0
"353",-611500,3878500,176,0
"354",898500,2643500,421,0
"355",820500,873500,425,0
"356",-1358500,2031500,4142,0
"357",-296500,2963500,74,0
"358",-2008500,4098500,49,0
"359",-819500,2057500,333,0
"360",-2024500,4385500,6,0
"361",-401500,1057500,590,0
"362",1075500,3412500,18,0
"363",145500,3277500,10,0
"364",-404500,3908500,930,0
"365",93500,1009500,109,0
"366",800500,1135500,323,0
"367",1709500,3301500,21,0
"368",10500,3502500,93,0
"369",379500,1119500,375,0
"370",-1317500,2508500,319,0
"371",1861500,2434500,401,0
"372",-1521500,3923500,218,0
"373",857500,2194500,364,0
"374",-2009500,3489500,2202,0
"375",-1427500,2421500,294,0
"376",331500,1390500,108,0
"377",400500,4028500,262,0
"378",327500,1698500,110,0
"379",575500,3917500,389,0
"380",1687500,1505500,1102,0
"381",344500,2975500,230,0
"382",-373500,3936500,340,0
"383",-725500,4335500,336,0
"384",-751500,2982500,106,0
"385",-757500,3844500,100,0
"386",-241500,1941500,237,0
"387",1468500,3082500,191,0
"388",-1596500,2692500,149,0
"389",-1392500,2508500,349,0
"390",-1501500,4162500,1721,0
"391",580500,248500,111,0
"392",-76500,1487500,290,0
"393",1164500,1149500,713,0
"394",-1028500,2089500,1032,0
"395",279500,4051500,153,0
"396",1067500,3871500,15,0
"397",1350500,3478500,38,0
"398",2532500,2530500,676,0
"399",844500,3500500,56,0
"400",10500,803500,116,0
"401",-662500,3265500,92,0
"402",-1866500,3026500,150,0
"403",519500,3025500,247,0
"404",2394500,2643500,688,0
"405",-738500,2675500,153,0
"406",-1427500,3168500,133,0
"407",1729500,2145500,447,0
"408",2256500,2834500,328,0
"409",1275500,3393500,24,0
"410",-313500,3180500,60,0
"411",-1501500,4246500,2050,0
"412",-362500,3986500,345,0
"413",811500,3662500,199,0
"414",1327500,1183500,956,0
"415",-1453500,4758500,-1,0
"416",-1086500,3036500,201,0
"417",538500,2715500,271,0
"418",-1662500,3821500,352,0
"419",-730500,3452500,58,0
"420",-1942500,3745500,2482,0
"421",1043500,2786500,504,0
"422",-2244500,3573500,378,0
"423",767500,3337500,174,0
"424",2552500,2608500,445,0
"425",-1108500,3959500,179,0
"426",-1717500,3774500,253,0
"427",-904500,2212500,222,0
"428",2070500,3198500,32,0
"429",1165500,3179500,74,0
"430",-833500,3793500,107,0
"431",-865500,994500,2840,0
"432",34500,1219500,127,0
"433",1246500,3363500,23,0
"434",383500,3035500,148,0
"435",-946500,3179500,127,0
"436",115500,3831500,595,0
"437",-1144500,4459500,88,0
"438",-91500,706500,130,0
"439",451500,1327500,245,0
"440",204500,2209500,481,0
"441",-29500,4269500,688,0
"442",-663500,3921500,150,0
"443",-1150500,2134500,1346,0
"444",368500,1646500,126,0
"445",-1250500,2027500,4150,0
"446",-517500,1839500,180,0
"447",2109500,3010500,734,0
"448",-152500,1168500,220,0
"449",-371500,1904500,200,0
"450",-1584500,3245500,156,0
"451",1683500,2721500,436,0
"452",1234500,2990500,156,0
"453",1053500,3108500,183,0
"454",1051500,2519500,175,0
"455",-354500,3275500,54,0
"456",610500,1184500,376,0
"457",841500,3057500,224,0
"458",-648500,4634500,70,0
"459",2109500,2013500,643,0
"460",1540500,1689500,520,0
"461",1265500,2595500,203,0
"462",-189500,800500,178,0
"463",-350500,1363500,1149,0
"464",-194500,1605500,297,0
"465",-784500,1803500,2283,0
"466",1454500,2862500,447,0
"467",2135500,2681500,799,0
"468",786500,269500,319,0
"469",1699500,2030500,442,0
"470",1153500,2832500,232,0
"471",-714500,2340500,152,0
"472",2630500,2776500,318,0
"473",-1031500,4527500,73,0
"474",-832500,1367500,4023,0
"475",-2169500,3658500,7,0
"476",-363500,2950500,58,0
"477",-1185500,2624500,268,0
"478",-1331500,3488500,161,0
"479",-1342500,3568500,189,0
"480",173500,3277500,21,0
"481",-1517500,4432500,485,0
"482",-817500,2422500,223,0
"483",-820500,1159500,5107,0
"484",2159500,1768500,4,0
"485",-1874500,2874500,882,0
"486",-113500,4084500,107,0
"487",1756500,3065500,113,0
"488",1961500,2975500,200,0
"489",-779500,4100500,111,0
"490",1794500,1622500,805,0
"491",-1059500,1617500,597,0
"492",-122500,1559500,288,0
"493",-909500,3499500,75,0
"494",-1243500,2182500,2754,0
"495",229500,1209500,104,0
"496",-1492500,3910500,243,0
"497",-607500,1260500,4199,0
"498",1038500,520500,280,0
"499",136500,3024500,118,0
"500",-1258500,2549500,324,0
"501",-1166500,3427500,138,0
"502",222500,981500,80,0
"503",-1305500,3598500,200,0
"504",726500,2837500,470,0
"505",-401500,4384500,305,0
"506",724500,2286500,302,0
"507",125500,3206500,44,0
"508",945500,3928500,170,0
"509",1280500,3440500,19,0
"510",-1592500,4731500,341,0
"511",25500,1903500,228,0
"512",-700500,2750500,134,0
"513",804500,2375500,347,0
"514",1013500,2951500,232,0
"515",-792500,4453500,35,0
"516",17500,559500,77,0
"517",-1561500,2134500,4387,0
"518",-741500,4247500,1321,0
"519",-1685500,3770500,328,0
"520",475500,3074500,215,0
"521",182500,3879500,263,0
"522",2647500,2677500,510,0
"523",-587500,1377500,3554,0
"524",1404500,1481500,805,0
"525",1749500,1582500,807,0
"526",-629500,1102500,3835,0
"527",-1347500,1841500,2132,0
"528",-167500,1458500,327,0
"529",2571500,2457500,356,0
"530",2403500,2840500,172,0
"531",1559500,2771500,268,0
"532",-1068500,4145500,127,0
"533",1747500,1047500,831,0
"534",-1835500,2726500,572,0
"535",681500,2176500,372,0
"536",-1460500,1807500,18,0
"537",1252500,3045500,145,0
"538",1192500,2661500,216,0
"539",-1545500,2414500,1135,0
"540",240500,1926500,191,0
"541",666500,345500,507,0
"542",37500,2652500,128,0
"543",-1840500,4449500,68,0
"544",1057500,3502500,4,0
"545",-413500,3006500,72,0
"546",824500,3484500,46,0
"547",-293500,2578500,160,0
"548",2289500,3040500,204,0
"549",-241500,4351500,164,0
"550",983500,3200500,119,0
"551",-582500,4612500,118,0
"552",-498500,2140500,139,0
"553",965500,2009500,256,0
"554",-447500,4716500,518,0
"555",-787500,3640500,106,0
"556",-308500,1002500,238,0
"557",-407500,3433500,66,0
"558",2328500,2769500,639,0
"559",1094500,2497500,196,0
"560",-975500,1927500,4272,0
"561",-105500,1078500,183,0
"562",1673500,2981500,178,0
"563",-208500,1563500,316,0
"564",1936500,2917500,181,0
"565",360500,3503500,22,0
"566",1908500,1291500,454,0
"567",-1606500,3506500,174,0
"568",1495500,2949500,293,0
"569",-239500,1381500,434,0
"570",597500,225500,71,0
"571",1523500,3199500,81,0
"572",397500,334500,130,0
"573",1612500,3331500,35,0
"574",1295500,1333500,1236,0
"575",-349500,598500,193,0
"576",149500,342500,65,0
"577",-1109500,3103500,118,0
"578",-1471500,2837500,200,0
"579",-235500,4601500,3,0
"580",1214500,2316500,265,0
"581",1916500,1896500,630,0
"582",-122500,230500,65,0
"583",1127500,3329500,35,0
"584",-546500,1132500,3544,0
"585",-889500,292500,3987,0
"586",2040500,1512500,79,0
"587",-1017500,3326500,124,0
"588",-768500,3218500,99,0
"589",953500,696500,883,0
"590",1258500,1239500,793,0
"591",-1305500,2604500,304,0
"592",-524500,3637500,60,0
"593",1203500,944500,588,0
"594",-1368500,4294500,183,0
"595",-672500,3656500,90,0
"596",-507500,1369500,3587,0
"597",-1045500,3220500,74,0
"598",-1578500,3983500,293,0
"599",-120500,4018500,78,0
"600",1285500,1329500,1242,0
"601",-593500,654500,4316,0
"602",-1669500,3915500,643,0
"603",-1522500,2588500,161,0
"604",-1506500,3815500,348,0
"605",-388500,1456500,1170,0
"606",554500,2285500,337,0
"607",-796500,1201500,5442,0
"608",648500,720500,554,0
"609",-621500,4300500,1321,0
"610",-609500,1390500,3963,0
"611",-1876500,4261500,1302,0
"612",-862500,855500,3166,0
"613",1462500,3024500,271,0
"614",-928500,1433500,3207,0
"615",-814500,4061500,96,0
"616",-1646500,3607500,200,0
"617",1395500,3366500,30,0
"618",203500,2723500,132,0
"619",-369500,1511500,615,0
"620",2505500,2492500,755,0
"621",-994500,2372500,286,0
"622",-1384500,3123500,131,0
"623",1786500,1730500,637,0
"624",-1503500,3665500,255,0
"625",-737500,3322500,84,0
"626",978500,950500,654,0
"627",466500,2775500,321,0
"628",-580500,2505500,150,0
"629",454500,795500,278,0
"630",-1971500,3519500,451,0
"631",-1008500,1532500,958,0
"632",-961500,1928500,4491,0
"633",2512500,2922500,28,0
"634",-344500,3657500,43,0
"635",-607500,1070500,3947,0
"636",911500,2075500,236,0
"637",4500,1727500,352,0
"638",-1521500,2756500,304,0
"639",-296500,2849500,76,0
"640",325500,3331500,6,0
"641",2077500,2675500,428,0
"642",-398500,4689500,318,0
"643",949500,2166500,219,0
"644",402500,2610500,355,0
"645",1596500,1733500,774,0
"646",1764500,1140500,233,0
"647",-873500,3196500,67,0
"648",-184500,4595500,8,0
"649",-669500,1528500,3892,0
"650",-931500,1659500,4027,0
"651",-1880500,3726500,2153,0
"652",40500,3939500,147,0
"653",-566500,1110500,3668,0
"654",2661500,2452500,95,0
"655",207500,1181500,79,0
"656",-797500,3689500,114,0
"657",-792500,1980500,267,0
"658",-1405500,4366500,204,0
"659",-1916500,3565500,315,0
"660",699500,1921500,414,0
"661",606500,3411500,2,0
"662",-501500,1865500,180,0
"663",1687500,1532500,841,0
"664",-1263500,3424500,144,0
"665",110500,1394500,100,0
"666",623500,982500,346,0
"667",-945500,2996500,159,0
"668",-1948500,3864500,1363,0
"669",1631500,3279500,20,0
"670",1338500,3015500,116,0
"671",-1158500,3433500,115,0
"672",381500,3862500,283,0
"673",458500,1711500,140,0
"674",69500,3549500,120,0
"675",813500,3035500,176,0
"676",-822500,944500,2309,0
"677",-111500,3271500,26,0
"678",1936500,2920500,155,0
"679",-1867500,4126500,2649,0
"680",743500,3087500,196,0
"681",-929500,2170500,221,0
"682",-1949500,3342500,390,0
"683",1135500,3435500,22,0
"684",-567500,3163500,76,0
"685",500500,1234500,416,0
"686",1759500,1867500,661,0
"687",1898500,1976500,439,0
"688",-934500,2828500,126,0
"689",1852500,2272500,1021,0
"690",-785500,1251500,3690,0
"691",559500,560500,391,0
"692",199500,470500,68,0
"693",-1952500,3806500,1780,0
"694",-1020500,2929500,177,0
"695",1178500,3291500,59,0
"696",-497500,2912500,68,0
"697",431500,3081500,120,0
"698",848500,2961500,263,0
"699",962500,2195500,212,0
"700",2349500,2643500,568,0
"701",332500,1472500,101,0
"702",-58500,2199500,457,0
"703",2618500,2435500,144,0
"704",1447500,2507500,504,0
"705",657500,2125500,381,0
"706",879500,3215500,177,0
"707",-1481500,4222500,3306,0
"708",-488500,1630500,1825,0
"709",524500,3524500,138,0
"710",-1656500,2949500,122,0
"711",-1975500,3038500,224,0
"712",-460500,3014500,52,0
"713",-1703500,2804500,558,0
"714",1183500,1864500,744,0
"715",37500,4190500,733,0
"716",-131500,1105500,197,0
"717",-1376500,2786500,198,0
"718",2333500,2692500,714,0
"719",-731500,889500,3470,0
"720",1923500,3114500,44,0
"721",-1254500,3431500,127,0
"722",-1132500,3609500,171,0
"723",-1042500,3363500,160,0
"724",-1726500,2230500,3531,0
"725",2329500,2342500,272,0
"726",-568500,4257500,301,0
"727",66500,226500,38,0
"728",-856500,4278500,298,0
"729",-304500,4064500,307,0
"730",-1942500,4209500,1081,0
"731",90500,886500,105,0
"732",-1831500,4164500,1980,0
"733",-579500,2876500,102,0
"734",-215500,550500,160,0
"735",-78500,2976500,45,0
"736",-760500,4379500,389,0
"737",-1534500,3053500,114,0
"738",-855500,1715500,4452,0
"739",-491500,4491500,75,0
"740",-473500,4306500,317,0
"741",-2299500,3516500,0,0
"742",646500,3521500,298,0
"743",-456500,2148500,139,0
"744",328500,1555500,109,0
"745",37500,2640500,145,0
"746",-748500,2170500,175,0
"747",-274500,3574500,29,0
"748",-296500,4153500,478,0
"749",1220500,2408500,345,0
"750",-795500,4121500,1684,0
"751",169500,3071500,117,0
"752",-755500,3780500,95,0
"753",-823500,4595500,150,0
"754",1951500,3184500,101,0
"755",-1312500,4460500,753,0
"756",-1152500,3455500,106,0
"757",-743500,3586500,81,0
"758",-245500,2694500,105,0
"759",937500,821500,1159,0
"760",804500,1881500,335,0
"761",783500,469500,712,0
"762",2280500,3156500,35,0
"763",-1232500,1848500,4634,0
"764",238500,2065500,601,0
"765",-1117500,3004500,184,0
"766",728500,2517500,294,0
"767",437500,2344500,343,0
"768",-920500,1076500,1345,0
"769",2543500,2799500,143,0
"770",1622500,2605500,543,0
"771",1348500,2894500,317,0
"772",1733500,2878500,437,0
"773",2113500,2753500,443,0
"774",-709500,1111500,4803,0
"775",-435500,3292500,51,0
"776",327500,3462500,57,0
"777",-844500,1899500,1232,0
"778",-836500,3620500,98,0
"779",358500,4151500,68,0
"780",-297500,4439500,248,0
"781",1008500,376500,291,0
"782",-445500,655500,571,0
"783",-1483500,4502500,19,0
"784",-1489500,4681500,82,0
"785",-235500,1787500,438,0
"786",-2165500,3402500,2118,0
"787",-884500,3495500,101,0
"788",1594500,3339500,62,0
"789",211500,847500,75,0
"790",125500,1295500,102,0
"791",878500,3840500,200,0
"792",1641500,1693500,746,0
"793",-1173500,2479500,299,0
"794",-1996500,4460500,0,0
"795",624500,2298500,344,0
"796",-1530500,3232500,132,0
"797",626500,3484500,358,0
"798",-1125500,3449500,96,0
"799",-910500,3485500,101,0
"800",-1123500,2176500,388,0
"801",452500,4129500,92,0
"802",923500,2887500,208,0
"803",625500,3982500,231,0
"804",-125500,3592500,68,0
"805",982500,3088500,198,0
"806",-1300500,2682500,252,0
"807",1681500,2377500,541,0
"808",535500,694500,215,0
"809",444500,1238500,550,0
"810",684500,1923500,537,0
"811",1637500,3079500,76,0
"812",129500,3519500,66,0
"813",134500,4291500,96,0
"814",-21500,4182500,1190,0
"815",-1794500,3185500,182,0
"816",-260500,1176500,289,0
"817",611500,327500,373,0
"818",-370500,969500,432,0
"819",-1067500,3877500,176,0
"820",808500,1434500,520,0
"821",253500,4156500,67,0
"822",629500,523500,307,0
"823",708500,2157500,422,0
"824",1579500,1456500,677,0
"825",-1926500,4013500,1572,0
"826",-756500,4619500,189,0
"827",-750500,268500,1177,0
"828",-26500,1172500,156,0
"829",-1364500,2872500,210,0
"830",399500,3204500,134,0
"831",1502500,2861500,385,0
"832",-418500,1315500,1178,0
"833",2460500,2890500,93,0
"834",2094500,2600500,540,0
"835",-103500,3420500,66,0
"836",-876500,3272500,81,0
"837",193500,298500,83,0
"838",-526500,3271500,67,0
"839",507500,1389500,251,0
"840",144500,3112500,87,0
"841",-509500,2250500,163,0
"842",-733500,1077500,4432,0
"843",-1226500,4496500,150,0
"844",-1391500,4526500,14,0
"845",-777500,2375500,175,0
"846",101500,4092500,128,0
"847",-882500,2891500,153,0
"848",-229500,1411500,425,0
"849",-133500,4185500,895,0
"850",1623500,2869500,377,0
"851",315500,3594500,206,0
"852",-1359500,3904500,162,0
"853",-425500,3305500,55,0
"854",-385500,2540500,160,0
"855",-928500,2898500,131,0
"856",-1461500,3184500,102,0
"857",-833500,4647500,234,0
"858",-1103500,3125500,101,0
"859",-61500,2819500,134,0
"860",-1546500,2026500,3853,0
"861",-894500,400500,4132,0
"862",-1203500,2731500,236,0
"863",-1363500,2495500,321,0
"864",-531500,3590500,43,0
"865",-980500,3024500,169,0
"866",260500,1875500,305,0
"867",971500,1220500,359,0
"868",-192500,2505500,145,0
"869",-17500,2389500,331,0
"870",-439500,4190500,348,0
"871",1338500,3180500,102,0
"872",99500,2215500,427,0
"873",783500,3673500,125,0
"874",493500,1487500,276,0
"875",1115500,2146500,305,0
"876",-1097500,2388500,333,0
"877",-1510500,3643500,352,0
"878",533500,2603500,402,0
"879",110500,1889500,235,0
"880",1161500,1642500,696,0
"881",-840500,1600500,4743,0
"882",1309500,1154500,1202,0
"883",-968500,2015500,3299,0
"884",-1789500,3739500,739,0
"885",-1592500,1991500,2115,0
"886",-599500,3106500,90,0
"887",1978500,3075500,83,0
"888",-649500,1595500,3779,0
"889",-42500,2793500,99,0
"890",-587500,3420500,36,0
"891",227500,2392500,316,0
"892",-579500,702500,2389,0
"893",1376500,3073500,256,0
"894",-824500,1763500,3433,0
"895",606500,3429500,9,0
"896",-375500,3075500,60,0
"897",2473500,2526500,737,0
"898",619500,1970500,668,0
"899",79500,4086500,422,0
"900",-2065500,3425500,3113,0
"901",-528500,2452500,157,0
"902",-2022500,3430500,520,0
"903",-1047500,313500,331,0
"904",-2017500,2737500,3154,0
"905",-176500,3997500,143,0
"906",1326500,2458500,320,0
"907",-1819500,4168500,1781,0
"908",849500,2982500,240,0
"909",-1529500,3262500,131,0
"910",-275500,4112500,504,0
"911",-825500,1172500,4040,0
"912",-68500,1125500,168,0
"913",-1205500,4443500,102,0
"914",-1110500,4142500,138,0
"915",-273500,2874500,73,0
"916",792500,3433500,4,0
"917",1475500,2768500,350,0
"918",-591500,3628500,70,0
"919",631500,296500,151,0
"920",580500,1366500,583,0
"921",380500,3555500,98,0
"922",-1997500,3085500,299,0
"923",1556500,3026500,216,0
"924",237500,3558500,263,0
"925",-32500,998500,145,0
"926",666500,1250500,402,0
"927",144500,2742500,173,0
"928",-306500,856500,247,0
"929",1907500,1835500,812,0
"930",501500,2983500,258,0
"931",1786500,2306500,407,0
"932",-707500,2424500,148,0
