"","elevation","x","y","Presence"
"9248",341,-1399000,4282000,0
"6897",130,-1279000,4382000,0
"1257",13,-1439000,4672000,0
"947",113,-1459000,4692000,0
"114262",4002,-829000,1622000,0
"25133",961,-1779000,3732000,0
"25131",286,-1799000,3732000,0
"91526",1667,-1379000,2222000,0
"64864",1165,-2099000,2792000,0
"89841",397,-1139000,2262000,0
"13016",1364,-1699000,4142000,0
"62358",1939,-2019000,2842000,0
"14079",123,-1959000,4102000,0
"36081",2954,-2069000,3422000,0
"30457",2524,-2009000,3572000,0
"32254",1485,-1999000,3522000,0
"56502",118,-1559000,2962000,0
"100884",4584,-1209000,1992000,0
"78443",4046,-1809000,2512000,0
"21516",2435,-1959000,3842000,0
"54991",1262,-2119000,2992000,0
"23490",323,-1649000,3782000,0
"64914",331,-1599000,2792000,0
"87628",655,-1489000,2312000,0
"15477",3254,-1599000,4052000,0
"28740",972,-1959000,3622000,0
"9445",2310,-1879000,4272000,0
"80779",4498,-1849000,2462000,0
"34530",237,-1839000,3462000,0
"81274",1043,-1549000,2452000,0
"23163",286,-1609000,3792000,0
"29076",303,-1929000,3612000,0
"60366",3398,-1939000,2882000,0
"61354",2002,-2019000,2862000,0
"106263",3760,-839000,1852000,0
"57902",2814,-2129000,2932000,0
"64371",3276,-2039000,2802000,0
"9755",195,-1389000,4262000,0
"66351",493,-2109000,2762000,0
"6855",811,-1699000,4382000,0
"2403",55,-1659000,4602000,0
"11957",263,-1439000,4182000,0
"13819",1443,-1839000,4112000,0
"23121",1354,-2029000,3792000,0
"65884",424,-1829000,2772000,0
"59843",98,-2249000,2892000,0
"28733",2828,-2029000,3622000,0
"13048",159,-1379000,4142000,0
"91523",2010,-1409000,2222000,0
"59371",707,-2069000,2902000,0
"91530",954,-1339000,2222000,0
"33733",2898,-2099000,3482000,0
"98549",2080,-969000,2052000,0
"70288",3725,-1879000,2682000,0
"84508",264,-1399000,2382000,0
"105461",3503,-1399000,1872000,0
"53584",129,-1739000,3022000,0
"6417",2030,-1549000,4402000,0
"5296",213,-1519000,4452000,0
"96517",3552,-1259000,2102000,0
"10257",2829,-1859000,4242000,0
"54996",1155,-2069000,2992000,0
"3622",18,-1739000,4532000,0
"61857",1502,-2009000,2852000,0
"73696",736,-1709000,2612000,0
"93635",2885,-1299000,2172000,0
"40571",1779,-2049000,3312000,0
"13582",258,-1489000,4122000,0
"62883",823,-1809000,2832000,0
"109885",4781,-769000,1752000,0
"32247",3323,-2069000,3522000,0
"85842",1063,-1589000,2352000,0
"2080",77,-1529000,4622000,0
"11963",170,-1379000,4182000,0
"96116",3563,-1209000,2112000,0
"36887",536,-2029000,3402000,0
"74164",3700,-1839000,2602000,0
"38090",39,-2229000,3372000,0
"13263",73,-1949000,4132000,0
"14407",146,-1389000,4092000,0
"14363",1829,-1829000,4092000,0
"17163",3572,-1659000,3992000,0
"1913",109,-1529000,4632000,0
"40145",9,-2199000,3322000,0
"56428",31,-2299000,2962000,0
"11933",717,-1679000,4182000,0
"47902",2027,-2189000,3142000,0
"64898",569,-1759000,2792000,0
"91509",2076,-1549000,2222000,0
"102407",3408,-1479000,1952000,0
"7752",403,-1859000,4342000,0
"8700",37,-1989000,4302000,0
"43914",666,-2179000,3232000,0
"283",44,-1589000,4752000,0
"54041",1064,-1969000,3012000,0
"40568",3628,-2079000,3312000,0
"23169",284,-1549000,3792000,0
"66379",638,-1829000,2762000,0
"78905",3963,-1889000,2502000,0
"68801",27,-2129000,2712000,0
"13260",43,-1979000,4132000,0
"15163",76,-1969000,4062000,0
"25128",1291,-1829000,3732000,0
"67343",2220,-2039000,2742000,0
"34877",411,-2269000,3452000,0
"65382",1017,-1889000,2782000,0
"3086",54,-1679000,4562000,0
"83562",4246,-1739000,2402000,0
"13839",3042,-1639000,4112000,0
"13849",818,-1539000,4112000,0
"65912",258,-1549000,2772000,0
"66877",768,-1779000,2752000,0
"55968",1178,-2049000,2972000,0
"82200",723,-1559000,2432000,0
"62341",89,-2189000,2842000,0
"53536",492,-2219000,3022000,0
"94858",2323,-1499000,2142000,0
"91497",4303,-1669000,2222000,0
"98948",1925,-949000,2042000,0
"96534",2263,-1089000,2102000,0
"14649",2566,-1679000,4082000,0
"98930",4926,-1129000,2042000,0
"51649",239,-1989000,3062000,0
"14908",4620,-1809000,4072000,0
"14899",2367,-1899000,4072000,0
"84031",1480,-1619000,2392000,0
"30808",2311,-2089000,3562000,0
"84038",1323,-1549000,2392000,0
"66851",3542,-2039000,2752000,0
"106938",1112,-1469000,1832000,0
"69328",903,-1739000,2702000,0
"68351",1526,-1749000,2722000,0
"25789",466,-1839000,3712000,0
"102032",4376,-1369000,1962000,0
"8260",1079,-1559000,4322000,0
"29721",300,-2269000,3592000,0
"94881",4131,-1269000,2142000,0
"31902",298,-1919000,3532000,0
"14906",2444,-1829000,4072000,0
"36475",3659,-2129000,3412000,0
"19710",2181,-1969000,3902000,0
"94077",328,-1029000,2162000,0
"14394",293,-1519000,4092000,0
"15750",2669,-1649000,4042000,0
"67336",960,-2109000,2742000,0
"70762",3113,-1999000,2672000,0
"56010",122,-1629000,2972000,0
"8696",8,-2029000,4302000,0
"15184",497,-1759000,4062000,0
"96920",3959,-1269000,2092000,0
"103605",3890,-1019000,1922000,0
"14346",17,-1999000,4092000,0
"79869",252,-1619000,2482000,0
"14615",125,-2019000,4082000,0
"71254",3830,-1929000,2662000,0
"89356",4177,-1679000,2272000,0
"67374",860,-1729000,2742000,0
"41804",662,-1979000,3282000,0
"18016",1877,-1719000,3962000,0
"20616",629,-1689000,3872000,0
"19164",768,-1669000,3922000,0
"7539",59,-1669000,4352000,0
"111970",3592,-589000,1692000,0
"358",101,-1579000,4742000,0
"90645",4580,-1679000,2242000,0
"25147",247,-1639000,3732000,0
"72730",898,-1719000,2632000,0
"288",75,-1539000,4752000,0
"6411",86,-1609000,4402000,0
"35270",340,-2259000,3442000,0
"37687",2652,-2159000,3382000,0
"16297",2795,-1799000,4022000,0
"314",392,-1189000,4752000,0
"38502",37,-2209000,3362000,0
"33720",206,-2229000,3482000,0
"8754",2737,-1449000,4302000,0
"104695",1393,-1529000,1892000,0
"16017",956,-1779000,4032000,0
"66861",2342,-1939000,2752000,0
"59416",128,-1619000,2902000,0
"77973",3803,-1799000,2522000,0
"9465",129,-1679000,4272000,0
"33724",477,-2189000,3482000,0
"13843",2478,-1599000,4112000,0
"11114",1989,-1629000,4212000,0
"94466",3547,-1289000,2152000,0
"34516",395,-1979000,3462000,0
"68837",800,-1769000,2712000,0
"22815",3148,-1789000,3802000,0
"88068",449,-1489000,2302000,0
"84040",1259,-1529000,2392000,0
"101227",613,-1669000,1982000,0
"12176",62,-1969000,4172000,0
"61348",1002,-2079000,2862000,0
"87188",2175,-1479000,2322000,0
"94461",3697,-1339000,2152000,0
"6425",725,-1469000,4402000,0
"67346",2662,-2009000,2742000,0
"91958",1945,-1289000,2212000,0
"8035",187,-1409000,4332000,0
"11118",2238,-1589000,4212000,0
"54547",127,-1729000,3002000,0
"89855",280,-999000,2262000,0
"96927",3679,-1199000,2092000,0
"6872",1330,-1529000,4382000,0
"7771",64,-1669000,4342000,0
"93591",1430,-1739000,2172000,0
"78901",3426,-1929000,2502000,0
"10549",142,-1729000,4232000,0
"50678",359,-2239000,3082000,0
"63397",825,-1719000,2822000,0
"97347",1245,-1019000,2082000,0
"96131",1343,-1059000,2112000,0
"38936",435,-1969000,3352000,0
"63883",1577,-1899000,2812000,0
"49762",761,-2039000,3102000,0
"101616",704,-1659000,1972000,0
"59851",606,-2169000,2892000,0
"359",113,-1569000,4742000,0
"94038",1993,-1419000,2162000,0
"22809",1235,-1849000,3802000,0
"77023",4105,-1849000,2542000,0
"26088",11,-2169000,3702000,0
"1569",149,-1629000,4652000,0
"41401",298,-1929000,3292000,0
"26114",1407,-1909000,3702000,0
"29765",253,-1829000,3592000,0
"16021",624,-1739000,4032000,0
"33719",204,-2239000,3482000,0
"12464",2161,-1799000,4162000,0
"79367",144,-1959000,2492000,0
"84029",1856,-1639000,2392000,0
"56957",747,-1859000,2952000,0
"10573",3890,-1489000,4232000,0
"97311",1999,-1379000,2082000,0
"5979",912,-1379000,4422000,0
"16889",221,-1549000,4002000,0
"81255",2757,-1739000,2452000,0
"15723",1183,-1919000,4042000,0
"12215",2746,-1579000,4172000,0
"6818",859,-2069000,4382000,0
"96952",945,-949000,2092000,0
"25454",1862,-1879000,3722000,0
"43908",80,-2289000,3232000,0
"77026",3393,-1819000,2542000,0
"2254",0,-1459000,4612000,0
"18019",3478,-1689000,3962000,0
"14084",1765,-1909000,4102000,0
"16883",503,-1609000,4002000,0
"94082",243,-979000,2162000,0
"13305",1427,-1529000,4132000,0
"76095",250,-1639000,2562000,0
"22830",303,-1639000,3802000,0
"16887",274,-1569000,4002000,0
"50219",2511,-2139000,3092000,0
"56487",203,-1709000,2962000,0
"82181",4083,-1749000,2432000,0
"35688",615,-2029000,3432000,0
"26116",1494,-1889000,3702000,0
"73701",271,-1659000,2612000,0
"60334",66,-2259000,2882000,0
"16580",909,-1789000,4012000,0
"111972",3666,-569000,1692000,0
"29751",468,-1969000,3592000,0
"6834",486,-1909000,4382000,0
"685",49,-1369000,4712000,0
"18272",20,-2009000,3952000,0
"451",265,-1559000,4732000,0
"2920",224,-1609000,4572000,0
"31905",250,-1889000,3532000,0
"77968",4025,-1849000,2522000,0
"55483",565,-2039000,2982000,0
"5255",23,-1929000,4452000,0
"14384",2875,-1619000,4092000,0
"9744",2510,-1499000,4262000,0
"89399",577,-1249000,2272000,0
"90693",372,-1199000,2242000,0
"73679",2651,-1879000,2612000,0
"79371",2187,-1919000,2492000,0
"37278",920,-2169000,3392000,0
"79378",3868,-1849000,2492000,0
"112307",3315,-579000,1682000,0
"102052",3972,-1169000,1962000,0
"67341",1301,-2059000,2742000,0
"13861",167,-1419000,4112000,0
"31175",1045,-2009000,3552000,0
"30813",3362,-2039000,3562000,0
"12452",1146,-1919000,4162000,0
"85380",4171,-1719000,2362000,0
"26775",645,-1909000,3682000,0
"13864",153,-1389000,4112000,0
"89779",4259,-1759000,2262000,0
"99338",3384,-989000,2032000,0
"37287",3810,-2079000,3392000,0
"34889",2867,-2149000,3452000,0
"11956",322,-1449000,4182000,0
"17425",988,-1899000,3982000,0
"90215",4799,-1699000,2252000,0
"34120",3786,-2059000,3472000,0
"65860",3215,-2069000,2772000,0
"9006",184,-1369000,4292000,0
"10277",184,-1659000,4242000,0
"64875",1479,-1989000,2792000,0
"2415",77,-1539000,4602000,0
"14090",960,-1849000,4102000,0
"38528",393,-1949000,3362000,0
"237",26,-1569000,4762000,0
"8256",671,-1599000,4322000,0
"26778",909,-1879000,3682000,0
"74667",225,-1599000,2592000,0
"72719",3791,-1829000,2632000,0
"58857",87,-2319000,2912000,0
"69289",27,-2129000,2702000,0
"7585",113,-1209000,4352000,0
"20613",2646,-1719000,3872000,0
"13548",2070,-1829000,4122000,0
"102028",4542,-1409000,1962000,0
"62386",431,-1739000,2842000,0
"68850",158,-1639000,2712000,0
"76549",4102,-1849000,2552000,0
"24792",2079,-1879000,3742000,0
"42638",3574,-2079000,3262000,0
"7563",432,-1429000,4352000,0
"803",592,-1529000,4702000,0
"54023",2833,-2149000,3012000,0
"18856",2885,-1879000,3932000,0
"12216",2849,-1569000,4172000,0
"98139",4421,-1099000,2062000,0
"50680",807,-2219000,3082000,0
"77975",2516,-1779000,2522000,0
"32262",291,-1919000,3522000,0
"28387",11,-2179000,3632000,0
"34501",3831,-2129000,3462000,0
"89824",975,-1309000,2262000,0
"91941",1208,-1459000,2212000,0
"90274",351,-1109000,2252000,0
"15207",204,-1529000,4062000,0
"7984",490,-1919000,4332000,0
"70293",702,-1829000,2682000,0
"33355",3252,-2089000,3492000,0
"79379",4354,-1839000,2492000,0
"94907",253,-1009000,2142000,0
"22183",284,-1639000,3822000,0
"17147",2574,-1819000,3992000,0
"91943",2440,-1439000,2212000,0
"8212",4,-2039000,4322000,0
"91953",1591,-1339000,2212000,0
"32282",207,-1719000,3522000,0
"86734",1920,-1589000,2332000,0
"98147",3685,-1019000,2062000,0
"28400",3377,-2049000,3632000,0
"33349",2014,-2149000,3492000,0
"112972",3629,-569000,1662000,0
"19739",543,-1679000,3902000,0
"4658",254,-1509000,4482000,0
"92365",3312,-1429000,2202000,0
"40174",325,-1909000,3322000,0
"2079",113,-1539000,4622000,0
"61329",6,-2269000,2862000,0
"46086",4,-2219000,3182000,0
"75624",258,-1589000,2572000,0
"67846",3127,-1909000,2732000,0
"13550",3044,-1809000,4122000,0
"3120",2944,-1269000,4562000,0
"7066",78,-1839000,4372000,0
"11380",161,-1719000,4202000,0
"73181",828,-2039000,2622000,0
"56459",975,-1989000,2962000,0
"62364",2744,-1959000,2842000,0
"88949",561,-1409000,2282000,0
"88046",4204,-1709000,2302000,0
"14940",178,-1489000,4072000,0
"88512",1101,-1419000,2292000,0
"58872",647,-2169000,2912000,0
"11096",2358,-1809000,4212000,0
"16620",197,-1389000,4012000,0
"89348",4096,-1759000,2272000,0
"73685",3415,-1819000,2612000,0
"35272",139,-2239000,3442000,0
"96497",3823,-1459000,2102000,0
"86742",506,-1509000,2332000,0
"89819",427,-1359000,2262000,0
"80770",565,-1939000,2462000,0
"19714",1038,-1929000,3902000,0
"48358",570,-2209000,3132000,0
"18287",3641,-1859000,3952000,0
"83095",2300,-1829000,2412000,0
"97317",3907,-1319000,2082000,0
"29066",3300,-2029000,3612000,0
"65844",0,-2229000,2772000,0
"16841",31,-2029000,4002000,0
"12729",1841,-1859000,4152000,0
"65355",53,-2159000,2782000,0
"10252",2401,-1909000,4242000,0
"100096",3555,-1269000,2012000,0
"25793",227,-1799000,3712000,0
"67852",964,-1849000,2732000,0
"66864",3586,-1909000,2752000,0
"62332",27,-2279000,2842000,0
"57904",1139,-2109000,2932000,0
"16291",1100,-1859000,4022000,0
"90278",324,-1069000,2252000,0
"589",522,-1139000,4722000,0
"16046",220,-1489000,4032000,0
"97719",4129,-1309000,2072000,0
"71738",4212,-1949000,2652000,0
"72728",1711,-1739000,2632000,0
"29414",276,-1909000,3602000,0
"97706",2947,-1439000,2072000,0
"91539",1257,-1249000,2222000,0
"4054",2411,-1369000,4512000,0
"58430",178,-1709000,2922000,0
"85866",394,-1349000,2352000,0
"93644",747,-1209000,2172000,0
"24442",152,-2069000,3752000,0
"110602",711,-579000,1732000,0
"15465",685,-1719000,4052000,0
"27760",284,-1889000,3652000,0
"24439",23,-2099000,3752000,0
"3666",3953,-1299000,4532000,0
"14612",6,-2049000,4082000,0
"92799",1689,-1299000,2192000,0
"10814",2313,-1859000,4222000,0
"43506",339,-1979000,3242000,0
"52569",227,-2319000,3042000,0
"58856",50,-2329000,2912000,0
"32260",331,-1939000,3522000,0
"57917",1737,-1979000,2932000,0
"13255",397,-2029000,4132000,0
"29088",246,-1809000,3612000,0
"58917",217,-1719000,2912000,0
"27418",2883,-2029000,3662000,0
"56445",2470,-2129000,2962000,0
"84993",382,-1079000,2372000,0
"9234",2009,-1539000,4282000,0
"26426",253,-2099000,3692000,0
"5069",92,-1639000,4462000,0
"23146",1792,-1779000,3792000,0
"6428",667,-1439000,4402000,0
"99727",4442,-1039000,2022000,0
"15199",3053,-1609000,4062000,0
"96129",1182,-1079000,2112000,0
"24464",1613,-1849000,3752000,0
"27447",253,-1739000,3662000,0
"31878",1176,-2159000,3532000,0
"17450",1807,-1649000,3982000,0
"78449",3493,-1749000,2512000,0
"1421",11,-1449000,4662000,0
"111980",1398,-489000,1692000,0
"15778",194,-1369000,4042000,0
"95288",2427,-1309000,2132000,0
"27104",1816,-1899000,3672000,0
"22513",241,-1539000,3812000,0
"14088",1421,-1869000,4102000,0
"103192",4741,-1319000,1932000,0
"34902",1086,-2019000,3452000,0
"8498",1434,-1589000,4312000,0
"73689",1015,-1779000,2612000,0
"84914",1114,-1869000,2372000,0
"42217",1615,-2029000,3272000,0
"9738",1675,-1559000,4262000,0
"88086",456,-1309000,2302000,0
"95712",2948,-1159000,2122000,0
"44768",18,-2209000,3212000,0
"79877",822,-1539000,2482000,0
"27080",94,-2139000,3672000,0
"12994",665,-1919000,4142000,0
"67847",2311,-1899000,2732000,0
"86777",461,-1159000,2332000,0
"20313",2103,-1739000,3882000,0
"8698",25,-2009000,4302000,0
"4677",1333,-1319000,4482000,0
"45221",329,-1989000,3202000,0
"100870",3777,-1349000,1992000,0
"450",1015,-1569000,4732000,0
"25761",55,-2119000,3712000,0
"38531",367,-1919000,3362000,0
"38097",3084,-2159000,3372000,0
"38910",31,-2229000,3352000,0
"12182",2155,-1909000,4172000,0
"11080",53,-1969000,4212000,0
"58873",1098,-2159000,2912000,0
"2758",13,-1499000,4582000,0
"7057",381,-1929000,4372000,0
"86284",1841,-1639000,2342000,0
"78896",52,-1979000,2502000,0
"5286",1024,-1619000,4452000,0
"15170",2164,-1899000,4062000,0
"62368",1566,-1919000,2842000,0
"2592",1,-1459000,4592000,0
"16308",1900,-1689000,4022000,0
"21512",127,-1999000,3842000,0
"17725",352,-1769000,3972000,0
"60392",132,-1679000,2882000,0
"27106",309,-1879000,3672000,0
"12748",1732,-1669000,4152000,0
"59837",0,-2309000,2892000,0
"69327",759,-1749000,2702000,0
"87202",424,-1339000,2322000,0
"10591",133,-1309000,4232000,0
"14077",109,-1979000,4102000,0
"84913",496,-1879000,2372000,0
"101646",4697,-1359000,1972000,0
"61863",2976,-1949000,2852000,0
"36093",363,-1949000,3422000,0
"7108",216,-1419000,4372000,0
"64367",1513,-2079000,2802000,0
"11646",2441,-1809000,4192000,0
"17126",43,-2029000,3992000,0
"9208",1849,-1799000,4282000,0
"18594",599,-1639000,3942000,0
"15480",399,-1569000,4052000,0
"81709",4884,-1839000,2442000,0
"63856",67,-2169000,2812000,0
"11369",2165,-1829000,4202000,0
"27123",249,-1709000,3672000,0
"35279",1019,-2169000,3442000,0
"7288",552,-1869000,4362000,0
"10270",242,-1729000,4242000,0
"16858",2053,-1859000,4002000,0
"16566",1534,-1929000,4012000,0
"69785",1082,-2039000,2692000,0
"10306",173,-1369000,4242000,0
"92353",3664,-1549000,2202000,0
"17133",268,-1959000,3992000,0
"77506",2101,-1749000,2532000,0
"37700",1004,-2029000,3382000,0
"18296",468,-1769000,3952000,0
"62354",2975,-2059000,2842000,0
"87187",1335,-1489000,2322000,0
"84962",289,-1389000,2372000,0
"1420",21,-1459000,4662000,0
"2400",58,-1689000,4602000,0
"91138",283,-1009000,2232000,0
"19421",1273,-1969000,3912000,0
"97735",5038,-1149000,2072000,0
"34885",374,-2189000,3452000,0
"89810",1555,-1449000,2262000,0
"63387",348,-1819000,2822000,0
"78008",293,-1449000,2522000,0
"5950",35,-1669000,4422000,0
"81730",331,-1629000,2442000,0
"21232",322,-1649000,3852000,0
"25439",429,-2029000,3722000,0
"59361",464,-2169000,2902000,0
"68332",1862,-1939000,2722000,0
"46104",1021,-2039000,3182000,0
"74639",3356,-1879000,2592000,0
"67821",0,-2159000,2732000,0
"24462",1320,-1869000,3752000,0
"99313",4449,-1239000,2032000,0
"17998",1697,-1899000,3962000,0
"83096",4487,-1819000,2412000,0
"93194",3668,-1539000,2182000,0
"21829",478,-1999000,3832000,0
"82192",572,-1639000,2432000,0
"16274",46,-2029000,4022000,0
"37276",149,-2189000,3392000,0
"106986",3832,-989000,1832000,0
"29383",171,-2219000,3602000,0
"30111",287,-1889000,3582000,0
"54040",276,-1979000,3012000,0
"79417",273,-1459000,2492000,0
"86772",467,-1209000,2332000,0
"45653",1222,-2059000,3192000,0
"78940",399,-1539000,2502000,0
"43484",20,-2199000,3242000,0
"24467",2369,-1819000,3752000,0
"20023",2174,-1739000,3892000,0
"30804",2212,-2129000,3562000,0
"8242",625,-1739000,4322000,0
"65876",2896,-1909000,2772000,0
"31891",2564,-2029000,3532000,0
"4861",1267,-1589000,4472000,0
"9730",265,-1639000,4262000,0
"65883",851,-1839000,2772000,0
"81736",552,-1569000,2442000,0
"7797",188,-1409000,4342000,0
"78900",1665,-1939000,2502000,0
"15436",95,-2009000,4052000,0
"30076",50,-2239000,3582000,0
"93641",2747,-1239000,2172000,0
"20043",241,-1539000,3892000,0
"6643",2593,-1559000,4392000,0
"26104",1036,-2009000,3702000,0
"18277",1423,-1959000,3952000,0
"455",434,-1519000,4732000,0
"96124",3577,-1129000,2112000,0
"69296",859,-2059000,2702000,0
"72248",273,-1699000,2642000,0
"97362",489,-869000,2082000,0
"54525",499,-1949000,3002000,0
"117800",2288,-509000,1512000,0
"23123",2161,-2009000,3792000,0
"83587",245,-1489000,2402000,0
"56485",219,-1729000,2962000,0
"21513",362,-1989000,3842000,0
"8466",1815,-1909000,4312000,0
"14634",2165,-1829000,4082000,0
"7303",931,-1719000,4362000,0
"11120",2420,-1569000,4212000,0
"8745",2231,-1539000,4302000,0
"16283",1349,-1939000,4022000,0
"76080",2825,-1789000,2562000,0
"7269",469,-2059000,4362000,0
"41390",1089,-2039000,3292000,0
"91073",4667,-1659000,2232000,0
"23124",1287,-1999000,3792000,0
"54012",154,-2259000,3012000,0
"8743",1688,-1559000,4302000,0
"282",26,-1599000,4752000,0
"26434",1225,-2019000,3692000,0
"21854",1989,-1749000,3832000,0
"17747",226,-1549000,3972000,0
"30097",2396,-2029000,3582000,0
"38093",39,-2199000,3372000,0
"2251",13,-1489000,4612000,0
"71288",156,-1589000,2662000,0
"64866",2179,-2079000,2792000,0
"14639",2119,-1779000,4082000,0
"19750",246,-1569000,3902000,0
"95281",2883,-1379000,2132000,0
"73231",159,-1539000,2622000,0
"32973",1081,-2159000,3502000,0
"93650",735,-1149000,2172000,0
"62362",3158,-1979000,2842000,0
"82169",3367,-1869000,2432000,0
"88968",394,-1219000,2282000,0
"74660",327,-1669000,2592000,0
"77998",268,-1549000,2522000,0
"9762",138,-1319000,4262000,0
"57433",1720,-1959000,2942000,0
"37284",2596,-2109000,3392000,0
"95293",4287,-1259000,2132000,0
"46116",226,-1919000,3182000,0
"90706",314,-1069000,2242000,0
"9704",2471,-1899000,4262000,0
"90687",1486,-1259000,2242000,0
"28749",295,-1869000,3622000,0
"81268",255,-1609000,2452000,0
"86724",4531,-1689000,2332000,0
"92398",299,-1099000,2202000,0
"83087",558,-1909000,2412000,0
"67372",431,-1749000,2742000,0
"57911",589,-2039000,2932000,0
"54030",1499,-2079000,3012000,0
"88907",208,-1829000,2282000,0
"64863",630,-2109000,2792000,0
"102025",4541,-1439000,1962000,0
"86316",435,-1319000,2342000,0
"69808",1106,-1809000,2692000,0
"97703",3547,-1469000,2072000,0
"49277",194,-2239000,3112000,0
"61844",1706,-2139000,2852000,0
"64364",951,-2109000,2802000,0
"44346",4074,-2149000,3222000,0
"52612",141,-1889000,3042000,0
"88062",2427,-1549000,2302000,0
"27087",1233,-2069000,3672000,0
"54024",3016,-2139000,3012000,0
"18033",258,-1549000,3962000,0
"281",7,-1609000,4752000,0
"10859",277,-1409000,4222000,0
"14672",167,-1449000,4082000,0
"92367",2546,-1409000,2202000,0
"80767",0,-1969000,2462000,0
"549",554,-1569000,4722000,0
"18853",987,-1909000,3932000,0
"14118",1886,-1569000,4102000,0
"14347",53,-1989000,4092000,0
"10811",1676,-1889000,4222000,0
"31194",241,-1819000,3552000,0
"101268",3981,-1259000,1982000,0
